'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NARRANDERA AIRPORT New South Wales for November 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NARRANDERA AIRPORT,01/11/2014, , , ,23.4, ,91,16,7.71,13.51
NARRANDERA AIRPORT,02/11/2014,5.0,3.2, ,21.1,3.5,87,26,3.54,27.20
NARRANDERA AIRPORT,03/11/2014,4.6,0.0, ,27.2,4.3,84,12,1.03,27.40
NARRANDERA AIRPORT,04/11/2014,7.2,0.0, ,31.9,10.0,66,8,3.20,25.95
NARRANDERA AIRPORT,05/11/2014,7.1,0.0, ,27.5,13.8,69,13,4.51,24.94
NARRANDERA AIRPORT,06/11/2014,6.3,0.0, ,27.7,9.2,65,10,2.70,28.21
NARRANDERA AIRPORT,07/11/2014,5.8,0.0, ,32.9,8.3,58,9,1.29,29.18
NARRANDERA AIRPORT,08/11/2014,8.9,0.0, ,36.4,13.6,47,7,3.45,30.39
NARRANDERA AIRPORT,09/11/2014,8.1,0.0, ,31.8,15.5,69,11,4.02,29.51
NARRANDERA AIRPORT,10/11/2014,8.5,0.0, ,30.7,10.4,58,10,4.68,29.88
NARRANDERA AIRPORT,11/11/2014,6.8,0.0, ,31.6,9.1,74,13,2.96,25.10
NARRANDERA AIRPORT,12/11/2014,7.0,0.0, ,33.2,10.9,73,9,2.48,28.33
NARRANDERA AIRPORT,13/11/2014, ,0.0, , ,12.0,53,9,1.39,26.95
NARRANDERA AIRPORT,14/11/2014, , , , , , , , ,22.44
NARRANDERA AIRPORT,17/11/2014, , , , , , , , ,29.35
NARRANDERA AIRPORT,18/11/2014, , , , , , , , ,29.66
NARRANDERA AIRPORT,19/11/2014, , , ,31.7, ,80,12,1.61,29.73
NARRANDERA AIRPORT,20/11/2014,9.8,0.0, ,37.5,14.6,63,9,5.00,23.28
NARRANDERA AIRPORT,21/11/2014,7.3,0.0, ,32.2,17.4,66,25,3.42,27.64
NARRANDERA AIRPORT,22/11/2014,6.6,0.0, ,35.4,13.0,76,13,2.33,22.73
NARRANDERA AIRPORT,23/11/2014,9.5,0.0, ,40.8,18.8,62,15,3.97,25.75
NARRANDERA AIRPORT,24/11/2014,4.3,4.4, ,28.8,19.5,85,32,4.79,3.82
NARRANDERA AIRPORT,25/11/2014,6.5,5.4, ,24.3,11.1,80,27,4.56,30.86
NARRANDERA AIRPORT,26/11/2014,6.4,0.0, ,27.8,8.9,89,21,3.14,29.32
NARRANDERA AIRPORT,27/11/2014,6.8,0.0, ,30.7,12.4,80,19,2.44,30.63
NARRANDERA AIRPORT,28/11/2014,8.4,0.0, ,32.6,15.6,68,18,4.13,30.45
NARRANDERA AIRPORT,29/11/2014,9.5,0.0, ,36.8,18.2,52,15,4.44,27.54
NARRANDERA AIRPORT,30/11/2014,9.3,0.0, ,36.0,21.6,66,23,6.30,20.96
Totals:,,159.7,13, ,,,,,, 
